Artist and Title,daily,streams
Luis Fonsi - Despacito (Featuring Daddy Yankee),543899,1706147661
The Weeknd - Call Out My Name,1017140,1703359514
Avicii - The Nights,1012778,1699683582
Dean Lewis - Be Alright,610557,1697608087
The Weeknd - Can't Feel My Face,661866,1695972901
The Weeknd - I Feel It Coming,625361,1695562899
Luis Fonsi - Despacito,201980,1693923893
Foster The People - Pumped Up Kicks,1131374,1692506610
"Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",612117,1689119193
benny blanco - Eastside,679665,1685222809
TOTO - Africa,858044,1680644584
Gotye - Somebody That I Used To Know,1049192,1673919872
Michael Jackson - Billie Jean,1156737,1666460400
Calvin Harris - This Is What You Came For,932601,1664621349
Sia - Chandelier,859637,1662345075
Twenty One Pilots - Ride,583494,1660657006
Adele - Easy On Me,868561,1654381961
Post Malone - Wow.,483116,1635373067
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",874356,1631592047
J Balvin - LA CANCIÓN,829398,1631109216
ZAYN - Dusk Till Dawn,526967,1627471298
Maroon 5 - Girls Like You,309951,1626556086
Ava Max - Sweet but Psycho,526814,1625312737
Linkin Park - Numb,1266797,1621563820
Alec Benjamin - Let Me Down Slowly,1085298,1618327433
DaBaby - ROCKSTAR,260087,1617173639
The Weeknd - Earned It (Fifty Shades Of Grey),665410,1613208813
Powfu - death bed (coffee for your head),654145,1612240823
Post Malone - I Fall Apart,323000,1611184070
ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker),796816,1608346000
OMI - Cheerleader,512309,1604540636
Harry Styles - Adore You,816874,1602500779
Cardi B - I Like It,290369,1596538489
Coolio - Gangsta's Paradise,955676,1593688521
Arctic Monkeys - Why'd You Only Call Me When You're High?,1144555,1593680497
WALK THE MOON - Shut Up and Dance,1195171,1589050857
Conan Gray - Heather,1165577,1586792081
Christina Perri - a thousand years,751821,1585659372
The Goo Goo Dolls - Iris,1447456,1581144679
Maroon 5 - Maps,1188264,1580021377
Manuel Turizo - La Bachata,1916931,1579723059
Eminem - Mockingbird,1176559,1576612141
DNCE - Cake By The Ocean,704326,1573035726
David Guetta - Titanium,719152,1572308986
Justin Bieber - Peaches,447443,1572251757
Trevor Daniel - Falling,402939,1570027467
Radiohead - Creep,1106466,1566695371
The White Stripes - Seven Nation Army,875480,1566295652
Childish Gambino - Redbone,590262,1565570079
Drake - Passionfruit,712522,1564291036
Fleetwood Mac - Dreams,1158606,1562824308
Billie Eilish - everything i wanted,606505,1559732781
Justin Bieber - What Do You Mean?,456345,1556924112
Juice WRLD - All Girls Are The Same,830983,1555107748
Travis Scott - HIGHEST IN THE ROOM,767225,1554022736
Tame Impala - The Less I Know The Better,1039834,1554020264
Dua Lipa - IDGAF,386782,1553541725
Panic! At The Disco - High Hopes,735116,1552682382
Queen - Under Pressure,868065,1548851926
Rihanna - We Found Love,1281842,1546738407
DJ Snake - Taki Taki,383165,1542296138
Don Omar - Danza Kuduro,1524035,1541925374
XXXTENTACION - Fuck Love,760056,1540961224
Arctic Monkeys - 505,1307975,1540462446
Future - Mask Off,472509,1539452218
MUSIC LAB JPN - Cake By The Ocean,710747,1539065983
Champs United - Danza Kuduro,1317166,1538898357
Eagles - Hotel California,798941,1538601615
XXXTENTACION - Everybody Dies In Their Nightmares,600414,1536771938
Tears For Fears - Everybody Wants To Rule The World,1399668,1536026431
White Noise Baby Sleep - Clean White Noise,471769,1534339423
DJ MIX NON-STOP CHANNEL - Danza Kuduro,1258823,1532301108
Marshmello - Silence,692253,1532070963
Bastille - Pompeii,794210,1531681361
Måneskin - Beggin',837584,1531531635
Shakira - Hips Don't Lie,1180173,1531022456
Doja Cat - Woman,949035,1529520106
Kendrick Lamar - All The Stars,1103125,1527147416
Adele - Hello,366589,1522321414
David Guetta - I’m Good (Blue),1830418,1521624179
Olivia Rodrigo - deja vu,1077418,1520700411
Bon Jovi - Livin' On A Prayer,1131517,1513903965
Beyoncé - Halo,711135,1510427633
Ed Sheeran - Shivers,852141,1508662367
Lil Nas X - Old Town Road,305731,1508227883
Miley Cyrus - Party In The U.S.A.,1132690,1506721064
Major Lazer - Cold Water,518686,1506575088
Ellie Goulding - Love Me Like You Do,332794,1505794337
Adele - Set Fire to the Rain,1260151,1503543826
"Earth, Wind & Fire - September",1095605,1498188900
The Starlite Singers - Party In The U.S.A.,1069631,1498183157
Post Malone - Psycho,253961,1495859544
Wham! - Last Christmas,131056,1495799154
Anne-Marie - 2002,498011,1495146142
Sam Smith - Unholy,885961,1490828179
Jung Kook - Seven,2447609,1489222194
Justin Bieber - Ghost,1218435,1488065411
AC/DC - Highway to Hell,1268412,1485878507
MUSIC LAB JPN - Danza Kuduro,1166434,1481512003
The Weeknd - Save Your Tears,858254,1479635961
Clean Bandit - Rockabye,604004,1478381412
Harry Styles - Sign of the Times,810371,1477245761
Olivia Rodrigo - traitor,1104839,1476893253
Zedd - The Middle,332961,1474843039
OneRepublic - I Ain't Worried,1676726,1474162779
Khalid - Young Dumb & Broke,571279,1472866133
AC/DC - Back In Black,745428,1472265194
KAROL G - Tusa,325006,1470620814
Taylor Swift - Anti-Hero,1597292,1467850088
"Tyler, The Creator - See You Again",1432575,1464232985
Bad Bunny - Tití Me Preguntó,616163,1459988342
Rihanna - Umbrella,919605,1458536291
Eminem - Love The Way You Lie,866693,1456989624
Farruko - Pepas,601953,1456404960
Arizona Zervas - ROXANNE,263625,1454966480
Creedence Clearwater Revival - Have You Ever Seen The Rain,1574460,1454643565
J Balvin - Mi Gente,457532,1443309456
NF - Let You Down,428740,1438509282
Ruth B. - Dandelions,1442583,1436938435
Imagine Dragons - Enemy,754282,1436588286
Imagine Dragons - Enemy feat. J.I.D. (from the series Arcane League of Legends),819352,1435834004
Offset - Ric Flair Drip,593908,1435783408
Lil Baby - Drip Too Hard (Lil Baby & Gunna),683260,1435518176
Rihanna - Needed Me,659829,1426475399
"Train - Hey, Soul Sister",981808,1425507319
50 Cent - In Da Club,1040700,1425475819
Keane - Somewhere Only We Know,1251736,1422829954
Clean Bandit - Symphony,472661,1419489159
One Direction - Night Changes,1544045,1417877408
Marshmello - FRIENDS,410528,1412369859
Rihanna - Love On The Brain,862770,1411743770
Bad Bunny - Callaita,375953,1410185238
Martin Garrix - In the Name of Love,376598,1410088544
Calvin Harris - Summer,1039014,1409966888
AC/DC - Thunderstruck,1138292,1407330807
Coldplay - Fix You,619412,1405945744
Ariana Grande - One Last Time,732414,1405719366
MAGIC! - Rude,904944,1405165169
Coldplay - A Sky Full of Stars,777957,1404158246
Kygo - It Ain't Me,357767,1401666677
Fifth Harmony - Work from Home,337349,1399079120
Dynoro - In My Mind,457457,1395704393
Pitbull - Timber,1106541,1394744628
Ariana Grande - Side To Side,401592,1394687503
Milky Chance - Stolen Dance,771014,1394648760
Eminem - Godzilla,772559,1393955853
Ariana Grande - positions,522389,1393134687
XXXTENTACION - Look At Me!,500072,1388403937
Alessia Cara - Scars To Your Beautiful,484977,1385789080
Katy Perry - Dark Horse,840860,1385333984
"Snoop Dogg - Young, Wild & Free",607815,1384943821
"gnash - i hate u, i love u",236798,1383560430
JAY-Z - Ni**as In Paris,722804,1381741811
Maroon 5 - Moves Like Jagger,1044116,1378562650
Kendrick Lamar - Money Trees,969191,1378162797
Bruno Mars - 24K Magic,405535,1377226212
Jonas Brothers - Sucker,428618,1377221151
XXXTENTACION - Hope,771440,1377080757
Ed Sheeran - Beautiful People,277657,1373283667
Bad Bunny - Yonaguni,313157,1372327094
Drake - In My Feelings,205197,1372288145
Maroon 5 - She Will Be Loved,694756,1370718099
Dr. Dre - Still D.R.E.,662813,1369192936
Tate McRae - you broke me first,1119760,1368861631
Rihanna - Work,486186,1361785671
Bad Bunny - Ojitos Lindos,737634,1360400785
The Script - Hall of Fame,625061,1358820272
Kanye West - Stronger,512625,1358088832
Bebe Rexha - Meant to Be,295196,1357662412
Backstreet Boys - I Want It That Way,723083,1355058506
Rihanna - Diamonds,823461,1354856130
Taylor Swift - Shake It Off,721579,1353175547
Avicii - Waiting For Love,587390,1352006675
Zara Larsson - Lush Life,753359,1350150703
Black Eyed Peas - I Gotta Feeling,1007670,1348970081
The Neighbourhood - Daddy Issues,1044930,1344242582
XXXTENTACION - changes,289857,1342467910
Khalid - Location,385416,1342363900
Gorillaz - Feel Good Inc.,783009,1339996668
Kings of Leon - Sex on Fire,1131828,1339047470
Pharrell Williams - Happy,577389,1338451041
Coldplay - Hymn for the Weekend,556106,1336729242
Red Hot Chili Peppers - Under the Bridge,649526,1335909219
Red Hot Chili Peppers - Californication,698478,1334527725
Selena Gomez - Wolves,313885,1334021648
Tyga - Taste,358244,1329218992
Billie Eilish - ocean eyes,876858,1328890641
Lana Del Rey - Summertime Sadness,1190281,1328868683
Metallica - Enter Sandman (Remastered),756445,1327172431
Jhayco - No Me Conoce,546426,1324699882
Ariana Grande - Into You,547180,1323712123
Daddy Yankee - Con Calma,439608,1318955131
Carly Rae Jepsen - Call Me Maybe,1109962,1314520057
Logic - 1-800-273-8255,214463,1314435455
Shawn Mendes - Mercy,497718,1314156192
Khalid - Better,476716,1311915247
Ed Sheeran - Castle on the Hill,394887,1311021737
Maroon 5 - Animals,720682,1310609954
Rema - Calm Down,1133477,1309644825
Sam Smith - Dancing With A Stranger,516631,1309443460
Ariana Grande - no tears left to cry,297167,1308738457
Drake - Hotline Bling,342048,1307053507
Taylor Swift - Lover,1688544,1306809937
Lil Tecca - Ransom,573346,1306109590
Axwell /\ Ingrosso - More Than You Know,512603,1303594520
Regard - Ride It,396461,1302653745
Jessie J - Bang Bang,425071,1302499000
Ed Sheeran - Happier,263995,1302178692
R.E.M. - Losing My Religion,762740,1298520615
Travis Scott - BUTTERFLY EFFECT,968072,1297599398
Cardi B - WAP,352361,1295888943
Internet Money - Lemonade,308200,1295275843
Bad Bunny - MIA,295563,1291703547
Marvin Gaye - Ain't No Mountain High Enough,842564,1286040070
MKTO - Classic,773910,1285892615
ZAYN - PILLOWTALK,356409,1285627942
Ed Sheeran - Galway Girl,381621,1284008317
Bruno Mars - Talking to the Moon,769303,1283414060
Unknown - Ain't No Mountain High Enough,833458,1281840803
Clean Bandit - Rather Be,539186,1281275102
Rauw Alejandro - Todo De Ti,731266,1280383787
Daniel Caesar - Best Part,1009323,1278903121
Juice WRLD - Robbery,400278,1276514646
The Walters - I Love You So,1528640,1276205581
Kendrick Lamar - LOVE. FEAT. ZACARI.,743446,1273121076
Gym Class Heroes - Stereo Hearts,643374,1269105596
Creedence Clearwater Revival - Fortunate Son,923114,1268266899
Snow Patrol - Chasing Cars,642843,1267928407
Outkast - Hey Ya!,885155,1267292574
Eurythmics - Sweet Dreams (Are Made of This) [2018 Remastered],1009487,1266793384
Portugal. The Man - Feel It Still,469620,1266446276
Lil Mosey - Blueberry Faygo,451099,1264917971
System Of A Down - Chop Suey!,956359,1262978390
Bruno Mars - Leave The Door Open,467083,1262886479
Billie Eilish - Happier Than Ever,689924,1260892177
Lynyrd Skynyrd - Sweet Home Alabama,644522,1257855940
Rihanna - Stay,621335,1254965296
XXXTENTACION - Revenge,1123574,1253987769
Joji - SLOW DANCING IN THE DARK,442637,1252789700
Metro Boomin - Creepin',1113475,1252740804
Major Lazer - Light It Up,591448,1251725905
"G-Eazy - Me, Myself & I",272675,1249915463
Drake - Nice For What,317959,1248675964
Adele - When We Were Young,463292,1248225756
J. Cole - MIDDLE CHILD,529366,1245601694
Maluma - Hawái,415408,1244683365
Bruno Mars - Grenade,628285,1244309200
Miguel - Sure Thing,885926,1243441231
blackbear - hot girl bummer,359416,1242885097
Bad Bunny - Efecto,549613,1240785897
DJ Khaled - I'm the One,192187,1239010895
Post Malone - Goodbyes,311931,1237053852
The Beatles - Here Comes The Sun,978801,1232797333
Coldplay - Paradise,577150,1231163298
P!nk - Just Give Me a Reason,877081,1231144208
BTS - Butter,354833,1230790735
Queen - We Will Rock You,823020,1230053447
USHER - Yeah!,1248696,1229210770
Survivor - Eye of the Tiger,825073,1228615842
Coldplay - My Universe,485859,1226687223
ABBA - Dancing Queen,1057889,1226408401
Capital Cities - Safe And Sound,849167,1224589189
Masked Wolf - Astronaut In The Ocean,313564,1223959717
Steve Lacy - Dark Red,1087371,1223787565
The Lumineers - Ho Hey,595529,1222783385
Martin Garrix - Scared to Be Lonely,230774,1222398186
Nirvana - Come As You Are,799683,1219999607
The Lumineers - Ophelia,736464,1219343917
Kanye West - Heartless,1301704,1216410231
Bryson Tiller - Don't,642274,1215706264
Future - Life Is Good,405372,1210867719
Taylor Swift - cardigan,1486907,1210461649
Lady Gaga - Always Remember Us This Way,816445,1207105318
Lady Gaga - Poker Face,1090779,1206572367
Pitbull - Time of Our Lives,945307,1204901604
One Direction - Story of My Life,919332,1203522255
Zedd - Stay,211907,1203501006
Imagine Dragons - Whatever It Takes,605936,1201547080
Joji - Glimpse of Us,718589,1201089453
Unknown - Time Of Our Lives,826960,1199181046
Lorde - Royals,479114,1197595715
Calum Scott - Dancing On My Own,502102,1195482125
J. Cole - Wet Dreamz,652038,1193047250
Julia Michaels - Issues,279088,1192476743
Sia - Unstoppable,1284266,1191766071
Selena Gomez - Lose You To Love Me,437037,1189398185
Robin Schulz - Sugar,379628,1188937903
Cigarettes After Sex - Apocalypse,1468377,1187534049
Imagine Dragons - Natural,501457,1182560509
One Direction - What Makes You Beautiful,1139056,1179150500
Britney Spears - Toxic,1113328,1178407794
Maroon 5 - What Lovers Do,265192,1178183512
Harry Styles - Falling,742857,1177978576
Doja Cat - Say So,341695,1176714218
Hailee Steinfeld - Starving,184571,1174794627
Frank Ocean - Pink + White,1418777,1173741353
James Bay - Let It Go,329564,1173249269
A$AP Rocky - Praise The Lord (Da Shine),959852,1171603201
Macklemore & Ryan Lewis - Thrift Shop,692113,1171191579
Chris Brown - Under The Influence,755729,1171189230
Lana Del Rey - Young And Beautiful,876091,1170235783
Kate Bush - Running Up That Hill (A Deal With God),575169,1168447102
Desiigner - Panda,160378,1168440090
Dua Lipa - Break My Heart,307400,1166964056
Lady Gaga - Bad Romance,849954,1166005864
Taylor Swift - Style,694021,1164091500
Joel Corry - Head & Heart,328978,1163552403
The Chainsmokers - Paris,274958,1161895695
Meek Mill - Going Bad,290343,1159479113
Tiësto - The Business,475575,1158635341
Anuel AA - China,226747,1156858318
Nio Garcia - Te Boté,218974,1156641514
Justin Bieber - Intentions,282059,1152133102
The Fray - How to Save a Life,464730,1151899489
Doja Cat - Need to Know,446113,1149286305
Loud Luxury - Body,475049,1147419778
Lost Frequencies - Where Are You Now,600181,1146058307
Whitney Houston - I Wanna Dance with Somebody (Who Loves Me),862381,1145348017
Fetty Wap - Trap Queen,402322,1144248334
Eslabon Armado - Ella Baila Sola,905599,1143880890
Bryan Adams - Summer Of '69,762737,1142852663
Dire Straits - Sultans Of Swing,594330,1142535511
Demi Lovato - Sorry Not Sorry,192790,1141503609
Fall Out Boy - Centuries,525106,1141329370
LISA - MONEY,558763,1141046403
BTS - Boy With Luv (Feat. Halsey),324594,1139975582
The Cranberries - Zombie,888368,1136926955
Pedro Capó - Calma,222548,1136124376
Imagine Dragons - Bones,1059262,1135509358
Duncan Laurence - Arcade,565950,1134594719
Red Hot Chili Peppers - Can't Stop,672810,1133177949
Guns N' Roses - Welcome To The Jungle,622272,1131707277
21 Savage - Bank Account,308897,1130527464
Lil Peep - Star Shopping,719645,1130176724
Nelly Furtado - Promiscuous,882813,1125357995
"The Rolling Stones - Paint It, Black",881125,1124966673
Beyoncé - Crazy In Love,1033660,1124751632
Kesha - TiK ToK,1066971,1123603768
Jonas Blue - Fast Car,343248,1120103120
KAROL G - PROVENZA,783539,1120037523
Metallica - Nothing Else Matters (Remastered),617177,1115358592
Post Malone - White Iverson,265112,1112245538
Kendrick Lamar - DNA.,457020,1111017506
Katy Perry - Roar,612696,1111008281
JP Saxe - If the World Was Ending,455327,1109953986
Topic - Breaking Me,241486,1109306135
Lil Wayne - Sucker for Pain,208699,1109304065
DJ Khaled - Wild Thoughts,728639,1107625593
Lil Peep - Falling Down,561884,1105439357
Sean Paul - No Lie,686962,1105332027
Taylor Swift - Look What You Made Me Do,719643,1104770404
GAYLE - abcdefu,319939,1104408310
Rihanna - FourFiveSeconds,410551,1103593840
Jason Derulo - Swalla,204813,1101568425
Jawsh 685 - Savage Love (Laxed,221211,1101527453
Kodaline - All I Want,428624,1100196383
Giveon - Heartbreak Anniversary,674211,1099079986
Rudimental - These Days,267622,1098910628
Calvin Harris - Feels,253937,1098212829
Kanye West - Gold Digger,600730,1097855636
fun. - We Are Young,540406,1097842933
Ali Gatie - It's You,270218,1096315559
Lewis Capaldi - Bruises,528802,1095912782
Pop Smoke - For The Night,310938,1095745499
Foo Fighters - Everlong,815898,1095152605
Drake - Nonstop,289800,1093578259
Pop Smoke - What You Know Bout Love,457840,1092865684
Kali Uchis - telepatía,767934,1090406869
Papa Roach - Last Resort,500348,1088475812
Ariana Grande - Stuck with U,404115,1087839383
The Notorious B.I.G. - Hypnotize,582348,1087823954
Calvin Harris - How Deep Is Your Love,673947,1087234544
Skrillex - Where Are Ü Now,189431,1083572345
Jack Ü - Where Are Ü Now,221518,1083382914
Kungs - This Girl (Kungs Vs. Cookin' On 3 Burners),453717,1081476571
Kygo - Firestone,259289,1081222972
Hailee Steinfeld - Let Me Go,160765,1079466800
One Direction - Drag Me Down,375643,1079370464
Aerosmith - Dream On,629792,1078371021
Katy Perry - Last Friday Night (T.G.I.F.),910311,1075137942
Adele - Make You Feel My Love,418353,1075082751
George Ezra - Budapest,466996,1073736076
Eminem - Stan,537939,1073499871
Lil Baby - Yes Indeed,567545,1072464239
Michael Jackson - Beat It,770090,1072334751
Ice Cube - It Was A Good Day,695872,1069908558
Ariana Grande - Dangerous Woman,702513,1067201828
Cyndi Lauper - Girls Just Want to Have Fun,1122025,1066581360
Nicki Minaj - Starships,829753,1066465031
Fleetwood Mac - The Chain,616315,1062807560
Olivia Rodrigo - happier,907811,1062535683
AC/DC - You Shook Me All Night Long,980265,1062389877
Pitbull - Give Me Everything,1279246,1060963564
Billie Eilish - idontwannabeyouanymore,352500,1059992469
Evanescence - Bring Me To Life,835462,1056271115
JVKE - golden hour,880406,1056101032
Bad Bunny - Moscow Mule,550319,1055823244
Eminem - Rap God,258835,1053659512
"Elton John - Rocket Man (I Think It's Going To Be A Long, Long Time)",669357,1052041752
Plain White T's - Hey There Delilah,413195,1051188422
BØRNS - Electric Love,436470,1050706845
Spice Girls - Wannabe,617647,1048504303
blink-182 - All The Small Things,701863,1048478469
Smash Mouth - All Star,524536,1048234351
Calvin Harris - Outside,676331,1047919120
Bon Jovi - You Give Love A Bad Name,730956,1046877593
Ariana Grande - Santa Tell Me,51327,1046515705
Elley Duhé - MIDDLE OF THE NIGHT,662838,1046346207
Kodak Black - ZEZE,403322,1046262681
DJ Snake - Middle,261778,1046012101
Selena Gomez - Back To You,262895,1045589079
Ariana Grande - God is a woman,282294,1044264682
Drake - Toosie Slide,189602,1042858128
Adele - Send My Love (To Your New Lover),325992,1042377622
A Great Big World - Say Something,261300,1041991147
M83 - Midnight City,493827,1041710922
Daft Punk - Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],438686,1041271883
Taylor Swift - Don’t Blame Me,1232879,1041098168
Avicii - Without You,423713,1040872325
Gnarls Barkley - Crazy,569654,1040224665
WILLOW - Wait a Minute!,457790,1040157044
Swedish House Mafia - Don't You Worry Child,548467,1040035857
Flo Rida - My House,319152,1038810601
The Drifters - Stand by Me,765991,1037807590
Ben E. King - Stand By Me,792180,1037807590
Lilly Wood and The Prick - Prayer in C,458356,1037665413
"Dan + Shay - 10,000 Hours",376162,1037213028
Lady Gaga - Rain On Me,288556,1036423363
Pop Smoke - Dior,482980,1036119795
Drake - Too Good,200244,1034903185
Jay Wheeler - La Curiosidad,768971,1034651339
Guns N' Roses - Paradise City,503780,1034310715
Red Hot Chili Peppers - Snow (Hey Oh),386785,1032857039
Steve Lacy - Bad Habit,686001,1031776494
d4vd - Romantic Homicide,1302849,1031543748
Lil Nas X - THATS WHAT I WANT,384159,1031205625
Sheck Wes - Mo Bamba,339752,1030831159
Meghan Trainor - Like I'm Gonna Lose You,295922,1030566569
Jonas Blue - Perfect Strangers,251823,1029276991
YNW Melly - Murder on My Mind,333571,1028547370
Bazzi - Mine,154350,1027875647
Taio Cruz - Dynamite,581735,1026489759
The Chainsmokers - Roses,227374,1026440692
Clean Bandit - Solo,168226,1025739223
Beach House - Space Song,892950,1025299789
Jaymes Young - Infinity,428707,1022759935
Black Sabbath - Paranoid (2009,782354,1022135608
Surf Curse - Freaks,881860,1021984265
SZA - Good Days,924092,1021658514
Imagine Dragons - Bad Liar,467339,1019404124
Jason Derulo - Want to Want Me,262227,1018975949
Green Day - Basket Case,654972,1018931958
Kanye West - Father Stretch My Hands Pt. 1,1051142,1018891055
Calvin Harris - Promises,225184,1018464768
Maroon 5 - This Love,829455,1016650240
Katy Perry - Firework,687997,1015331695
Taylor Swift - august,1344483,1012451371
Post Malone - Candy Paint,221694,1012430327
Calvin Harris - Slide,382581,1011802608
Of Monsters and Men - Little Talks,490840,1010155210
Brenda Lee - Rockin' Around The Christmas Tree,28384,1009831996
The Verve - Bitter Sweet Symphony,497210,1009750187
Outkast - Ms. Jackson,714167,1008577445
Calum Scott - You Are The Reason,424005,1008542570
Xmas Classics - Rockin' Around the Christmas Tree,133228,1008228104
